Time_relative_to_t0,Count_rate_2-4keV,Count_rate_err_2-4keV,Count_rate_4-10keV,Count_rate_err_4-10keV,Count_rate_10-20keV,Count_rate_err_10-20keV,Uncorrected_count_rate_2-4keV,Uncorrected_count_rate_2-4keV_err,Uncorrected_count_rate_4-10keV,Uncorrected_count_rate_4-10keV_err
-15,-0.067,0.033,0.064,0.208,-0.2,0.05,0,0.1,0.13,0.32
-12,-0.044,0.022,-0.096,0.016,0.215,0.31,0,0.1,-0.2,0.2
-9,-0.044,0.022,0.144,0.16,0.03,0.13,0,0.1,0.435,0.5
-6,0.289,0.200,0.296,0.184,0.138,0.153,0.6,0.475,1.1,0.65
-3,-0.033,0.033,0.408,0.184,0.023,0.092,0,0.1,1.75,0.8
0,0.211,0.167,0.232,0.144,0.108,0.123,0.6,0.475,1.1,0.65
3,0.500,0.256,0.56,0.224,0.115,0.13,1.275,0.675,2.4,0.94
6,0.744,0.344,0.4,0.2,-0.08,0.015,1.6125,0.7375,1.4,0.73
9,-0.044,0.011,0.032,0.12,0.031,0.138,0,0.1,0.13,0.32
12,-0.044,0.011,0.04,0.152,-0.138,0.031,0,0.1,0.13,0.32
15,,,-0.144,0.04,-0.2,0.05,0.25,0.25,-0.2,0.2